Id,Code,Description
247,2894,Fabricarea utilajelor pentru industria textila
248,2895,Fabricarea utilajelor pentru industria hartiei si cartonului
249,2896,Fabricarea utilajelor pentru prelucrarea maselor plastice si a cauciucului
250,2899,Fabricarea altor masini si utilaje specifice n.c.a.
251,2910,Fabricarea autovehiculelor de transport rutier
252,2920,Productia de caroserii pentru autovehicule; fabricarea de remorci si semiremorci
253,2931,Fabricarea de echipamente electrice si electronice pentru autovehicule si pentru motoare de autovehicule
254,2932,Fabricarea altor piese si accesorii pentru autovehicule si pentru motoare de autovehicule
255,3011,Constructia de nave si structuri plutitoare
256,3012,Constructia de ambarcatiuni sportive si de agrement
257,3020,Fabricarea materialului rulant
258,3030,Fabricarea de aeronave si nave spatiale
259,3040,Fabricarea vehiculelor militare de lupta
260,3091,Fabricarea de motociclete
261,3092,Fabricarea de biciclete si de vehicule pentru invalizi
262,3099,Fabricarea altor mijloace de transport n.c.a.
263,3101,Fabricarea de mobila pentru birouri si magazine
264,3102,Fabricarea de mobila pentru bucatarii
265,3103,Fabricarea de saltele si somiere
266,3109,Fabricarea de mobila n.c.a.
267,3211,Baterea monedelor
268,3212,Fabricarea bijuteriilor si articolelor similare din metale si pietre pretioase
269,3213,Fabricarea imitatiilor de bijuterii si articole similare
270,3220,Fabricarea instrumentelor muzicale
271,3230,Fabricarea articolelor pentru sport
272,3240,Fabricarea jocurilor si jucariilor
273,3250,Productia de dispozitive
274,3291,Fabricarea maturilor si periilor
275,3299,Fabricarea altor produse manufacturiere n.c.a.
276,3311,Repararea articolelor fabricate din metal
277,3312,Repararea masinilor
278,3313,Repararea echipamentelor electronice si optice
279,3314,Repararea echipamentelor electrice
280,3315,Repararea si intretinerea navelor si barcilor
281,3316,Repararea si intretinerea aeronavelor si navelor spatiale
282,3317,Repararea si intretinerea altor echipamente de transport n.c.a.
283,3319,Repararea altor echipamente
284,3320,Instalarea masinilor si echipamentelor industriale
285,3511,Productia de energie electrica
286,3512,Transportul energiei electrice
287,3513,Distributia energiei electrice
288,3514,Comercializarea energiei electrice
289,3521,Productia gazelor
290,3522,Distributia combustibililor gazosi prin conducte
291,3523,Comercializarea combustibililor gazosi prin conducte
292,3530,Furnizarea de abur si aer conditionat
293,3600,Captarea
294,3700,Colectarea si epurarea apelor uzate
295,3811,Colectarea deseurilor nepericuloase
296,3812,Colectarea deseurilor periculoase
297,3821,Tratarea si eliminarea deseurilor nepericuloase
298,3822,Tratarea si eliminarea deseurilor periculoase
299,3831,Demontarea (dezasamblarea masinilor si echipamentelor scoase din uz pentru recuperarea materialelor
300,3832,Recuperarea materialelor reciclabile sortate
301,3900,Activitati si servicii de decontaminare
302,4110,Dezvoltare (promovare imobiliara
303,4120,Lucrari de constructii a cladirilor rezidentiale si nerezidentiale
304,4211,Lucrari de constructii a drumurilor si autostrazilor
305,4212,Lucrari de constructii a cailor ferate de suprafata  si subterane
306,4213,Costructia de poduri si tuneluri
307,4221,Lucrari de constructii a proiectelor utilitare pentru fluide
308,4222,Lucrari de constructii a proiectelor utilitare pentru electricitate si telecomunicatii
309,4291,Constructii hidrotehnice
310,4299,Lucrari de constructii a altor proiecte ingineresti n.c.a
311,4311,Lucrari de demolare a constructiilor
312,4312,Lucrari de pregatire a terenului
313,4313,Lucrari de foraj si sondaj pentru constructii
314,4321,Lucrari de instalatii electrice
315,4322,Lucrari de instalatii sanitare
316,4329,Alte lucrari de instalatii pentru constructii
317,4331,Lucrari de ipsoserie
318,4332,Lucrari de tamplarie si dulgherie
319,4333,Lucrari de pardosire si placare a peretilor
320,4334,Lucrari de vopsitorie
321,4339,Alte lucrari de finisare
322,4391,Lucrari de invelitori
323,4399,Alte lucrari speciale de constructii n.c.a.
324,4511,Comert cu autoturisme si autovehicule usoare (sub 3
325,4519,Comert cu alte autovehicule
326,4520,intretinerea si repararea autovehiculelor
327,4531,Comert cu ridicata de piese si accesorii pentru autovehicule
328,4532,Comert cu amanuntul de piese si accesorii pentru autovehicule
329,4540,Comert cu motociclete
330,4611,Intermedieri in comertul cu materii prime agricole
331,4612,Intermedieri in comertul cu combustibili
332,4613,Intermedieri in comertul cu material lemnos si materiale de constructii
333,4614,Intermedieri in comertul cu masini
334,4615,Intermedieri in comertul cu mobila
335,4616,Intermedieri in comertul cu textile
336,4617,Intermedieri in comertul cu produse alimentare
337,4618,Intermedieri in comertul specializat in vanzarea produselor cu caracter specific
338,4619,Intermedieri in comertul cu produse diverse
339,4621,Comert cu ridicata al cerealelor
340,4622,Comert cu ridicata al florilor si al plantelor
341,4623,Comert cu ridicata al animalelor vii
342,4624,Comert cu ridicata al blanurilor
343,4631,Comert cu ridicata al fructelor si legumelor
344,4632,Comert cu ridicata al carnii si produselor din carne
345,4633,Comert cu ridicata al produselor lactate
346,4634,Comert cu ridicata al bauturilor
347,4635,Comert cu ridicata al produselor din tutun
348,4636,Comert cu ridicata al zaharului
349,4637,Comert cu ridicata cu cafea
350,4638,Comert cu ridicata specializat al altor alimente
351,4639,Comert cu ridicata nespecializat de produse alimentare
352,4641,Comert cu ridicata al produselor textile
353,4642,Comert cu ridicata al imbracamintei si incaltamintei
354,4643,Comert cu ridicata al aparatelor electrice de uz gospodaresc
355,4644,Comert cu ridicata al produselor din ceramica
356,4645,Comert cu ridicata al produselor cosmetice si de parfumerie
357,4646,Comert cu ridicata al produselor farmaceutice
358,4647,Comert cu ridicata al mobilei
359,4648,Comert cu ridicata al ceasurilor si bijuteriilor
360,4649,Comert cu ridicata al altor bunuri de uz gospodaresc
361,4651,Comert cu ridicata al calculatoarelor
362,4652,Comert cu ridicata de componente si echipamente electronice si de telecomunicatii
363,4661,Comert cu ridicata al masinilor agricole
364,4662,Comert cu ridicata al masinilor- unelte
365,4663,Comert cu ridicata al masinilor pentru industria miniera si constructii
366,4664,Comert cu ridicata al masinilor pentru industria textila si al masinilor de cusut si de tricotat
367,4665,Comert cu ridicata al mobilei de birou
368,4666,Comert cu ridicata al altor masini si echipamente de birou
369,4669,Comert cu ridicata al altor masini si echipamente
370,4671,Comert cu ridicata al combustibililor solizi
371,4672,Comert cu ridicata al metalelor si minereurilor metalice
372,4673,Comert cu ridicata al materialului lemnos si al materialelor de constructii si echipamentelor sanitare
373,4674,Comert cu ridicata al echipamentelor si furniturilor de fierarie pentru instalatii sanitare si de incalzire
374,4675,Comert cu ridicata al produselor chimice
375,4676,Comert cu ridicata al altor produse intermediare
376,4677,Comert cu ridicata al deseurilor si resturilor
377,4690,Comert cu ridicata nespecializat
378,4711,Comert cu amanuntul in magazine nespecializate
379,4719,Comert cu amanuntul in magazine nespecializate
380,4721,Comert cu amanuntul al fructelor si legumelor proaspete
381,4722,Comert cu amanuntul al carnii si al produselor din carne
382,4723,Comert cu amanuntul al pestelui
383,4724,Comert cu amanuntul al painii
384,4725,Comert cu amanuntul al bauturilor
385,4726,Comert cu amanuntul al produselor din tutun
386,4729,Comert cu amanuntul al altor produse alimentare
387,4730,Comert cu amanuntul al carburantilor pentru autovehicule
388,4741,Comert cu amanuntul al calculatoarelor
389,4742,Comert cu amanuntul al echipamentului pentru telecomunicatii
390,4743,Comert cu amanuntul al echipamentului audio/ video
391,4751,Comert cu amanuntul al textilelor
392,4752,Comert cu amanuntul al articolelor de fierarie
393,4753,Comert cu amanuntul al covoarelor
394,4754,Comert cu amanuntul al articolelor si aparatelor electrocasnice
395,4759,Comert cu amanuntul al mobilei
396,4761,Comert cu amanuntul al cartilor
397,4762,Comert cu amanuntul al ziarelor si articolelor de papetarie
398,4763,Comert cu amanuntul al discurilor si benzilor magnetice cu sau fara inregistrari audio/ video
399,4764,Comert cu amanuntul al echipamentelor sportive
400,4765,Comert cu amanuntul al jocurilor si jucariilor
401,4771,Comert cu amanuntul al imbracamintei
402,4772,Comert cu amanuntul al incaltamintei si articolelor din piele
403,4773,Comert cu amanuntul al produselor farmaceutice
404,4774,Comert cu amanuntul al articolelor medicale si ortopedice
405,4775,Comert cu amanuntul al produselor cosmetice si de parfumerie
406,4776,Comert cu amanuntul al florilor
407,4777,Comert cu amanuntul al ceasurilor si bijuteriilor
408,4778,Comert cu amanuntul al altor bunuri noi
409,4779,Comert cu amanuntul al bunurilor de ocazie vandute prin magazine
410,4781,Comert cu amanuntul al produselor alimentare
411,4782,Comert cu amanuntul al textilelor
412,4789,Comert cu amanuntul prin standuri
413,4791,Comert cu amanuntul prin intermediul caselor de comenzi sau prin internet
414,4799,Comert cu amanuntul altfel efectuat in afara  magazinelor
415,4910,Transporturi interurbane de calatori pe calea ferata
416,4920,Transporturi de marfa pe calea ferata
417,4931,Transporturi urbane
418,4932,Transporturi cu taxiuri
419,4939,Alte transporturi terestre de calatori n.c.a
420,4941,Transporturi rutiere de marfuri
421,4942,Servicii de mutare
422,4950,Transporturi prin conducte
423,5010,Transporturi maritime si costiere de pasageri
424,5020,Transporturi maritime si costiere de marfa
425,5030,Transporturi de pasageri pe cai navigabile interioare
426,5040,Transportul de marfa pe cai navigabile interioare
427,5110,Transporturi aeriene de pasageri
428,5121,Transporturi aeriene de marfa
429,5122,Transporturi spatiale
430,5210,Depozitari
431,5221,Activitati de servicii anexe pentru transporturi terestre
432,5222,Activitati de servicii anexe transportului pe apa
433,5223,Activitati de servicii anexe transporturilor aeriene
434,5224,Manipulari
435,5229,Alte activitati anexe transporturilor
436,5310,Activitati postale desfasurate sub obligativitatea serviciului universal
437,5320,Alte activitati postale si de curier
438,5510,Hoteluri si alte facilitati de cazare similare
439,5520,Facilitati de cazare pentru vacante si perioade de scurta durata
440,5530,Parcuri pentru rulote
441,5590,Alte servicii de cazare
442,5610,Restaurante
443,5621,Activitati de alimentatie (catering pentru evenimente
444,5629,Alte activitati de alimentatie n.c.a.
445,5630,Baruri si alte activitati de servire a bauturilor
446,5811,Activitati de editare a cartilor
447,5812,Activitati de editare de ghiduri
448,5813,Activitati de editare a ziarelor
449,5814,Activitati de editare a revistelor si periodicelor
450,5819,Alte activitati de editare
451,5821,Activitati de editare a jocurilor de calculator
452,5829,Activitati de editare a altor produse software
453,5911,Activitati de productie cinematografica
454,5912,Activitati de postproductie cinematografica
455,5913,Activitati de distributie a filmelor cinematografice
456,5914,Proiectia de filme cinematografice
457,5920,Activitati de realizare a inregistrarilor audio si activitati de editare muzicala
458,6010,Activitati de difuzare a programelor de radio
459,6020,Activitati de difuzare a programelor de televiziune
460,6110,Activitati de telecomunicatii prin retele cu cablu
461,6120,Activitati de telecomunicatii prin retele fara cablu (exclusiv prin satelit
462,6130,Activitati de telecomunicatii prin satelit
463,6190,Alte activitati de telecomunicatii
464,6201,Activitati de realizare a soft-ului la comanda (software orientat client
465,6202,Activitati de consultanta in tehnologia informatiei
466,6203,Activitati de management (gestiune si exploatare al mijloacelor de calcul
467,6209,Alte activitati de servicii privind tehnologia informatiei
468,6311,Prelucrarea datelor
469,6312,Activitati ale portalurilor web
470,6391,Activitati ale agentiilor de stiri
471,6399,Alte activitati de servicii informationale n.c.a.
472,6411,Activitati ale bancii centrale (nationale
473,6419,Alte activitati de intermedieri monetare
474,6420,Activitati ale holdingurilor
475,6430,Fonduri mutuale si alte entitati financiare similare
476,6491,Leasing financiar
477,6492,Alte activitati de creditare
478,6499,Alte intermedieri financiare n.c.a.
479,6511,Activitati de asigurari de viata
480,6512,Alte activitati de asigurari (exceptand asigurarile de viata
481,6520,Activitati de reasigurare
482,6530,Activitati ale fondurilor de pensii (cu exceptia celor din sistemul public de asigurari sociale
483,6611,Administrarea pietelor financiare
